,Term,StatedMonthlyIncome,LoanOriginalAmount,BorrowerAPR
130,60,4833.333333,10000,0.24754
131,36,833.333333,12500,0.20623
132,36,4161.916667,8600,0.13012
133,60,2750.0,5000,0.15936
134,36,7083.333333,6000,0.28544
135,36,4166.666667,4000,0.33215
136,36,3333.333333,3000,0.21679
137,36,1416.666667,4000,0.21648
138,36,3750.0,3000,0.33973
139,36,1835.416667,2500,0.33973
140,36,4833.333333,5000,0.12198
141,60,4423.333333,9000,0.26877
142,36,4750.0,2500,0.15882
143,60,6653.916667,20000,0.1963
144,36,3750.0,3500,0.2878
145,36,9416.666667,22000,0.20053
146,36,0.083333,4000,0.09939
147,36,4169.333333,2200,0.09191
148,36,10000.0,10000,0.09434
149,36,7166.666667,3333,0.28943
150,36,5833.333333,6500,0.08641
151,60,6500.0,7500,0.28324
152,36,4583.333333,10000,0.24614
153,60,6250.0,15000,0.26333
154,60,6500.0,15000,0.21115
155,60,6333.333333,15000,0.20705
156,36,8500.0,5500,0.18454
157,36,2500.0,4000,0.35797
158,36,6666.666667,5500,0.09469
159,36,3493.75,3000,0.23808
160,60,8458.333333,12475,0.16662
161,36,2429.166667,4000,0.17151
162,36,7500.0,3000,0.08483
163,36,4166.666667,12500,0.09484
164,36,4958.333333,2000,0.16436
165,36,5250.0,9000,0.09643
166,36,4800.0,3500,0.35356
167,60,6666.666667,15000,0.20347
168,36,10000.0,4500,0.2129
169,36,7220.583333,9310,0.13734
170,36,0.0,10000,0.28851
171,36,5586.5,6500,0.11296
172,36,5833.333333,10000,0.24753
173,36,3616.083333,15000,0.10642
174,36,7083.333333,3600,0.09988
175,60,5416.666667,12000,0.21832
176,36,6250.0,4000,0.32446
177,36,6250.0,2900,0.18316
178,36,3333.333333,2200,0.24856
179,36,4583.333333,5500,0.34731
180,36,2841.916667,7500,0.23438
181,36,3333.333333,4000,0.33215
182,36,5333.333333,13500,0.25259
183,36,6000.0,2000,0.13697
184,36,200.0,1200,0.2659
185,36,3333.333333,6000,0.27119
186,36,0.0,4000,0.35797
187,36,4583.333333,3500,0.20462
188,36,1000.0,1000,0.19835
189,60,9500.0,24800,0.18197
190,60,7666.666667,15000,0.19988
191,36,3750.0,10000,0.30781
192,60,5833.333333,15000,0.29998
193,36,2500.0,2000,0.23937
194,36,4166.666667,3800,0.2951
195,60,6666.666667,15000,0.20081
196,60,33333.333333,25000,0.15752
197,36,2083.333333,3000,0.19108
198,36,10000.0,3000,0.29265
199,36,9583.333333,13000,0.11599
200,36,5500.0,4000,0.35643
201,36,6666.666667,20000,0.15713
202,36,3750.0,10000,0.22712
203,36,5833.333333,20000,0.12274
204,60,5000.0,10000,0.27246
205,36,13750.0,10000,0.07922
206,36,9166.666667,7500,0.27767
207,60,3000.0,7000,0.1858
208,60,17500.0,15000,0.23318
209,36,7916.666667,4000,0.3179
210,36,5438.333333,8000,0.16607
211,60,4166.666667,15000,0.19681
212,36,3708.333333,4000,0.35797
213,36,3166.666667,1500,0.16184
214,60,5416.666667,10000,0.24282
215,36,7500.0,9999,0.18726
216,36,4500.0,4000,0.3179
217,36,1666.666667,3001,0.29776
218,36,4416.666667,10000,0.19236
219,36,12500.0,5500,0.21933
220,36,3744.333333,4000,0.30564
221,60,5391.583333,15000,0.15629
222,36,12083.333333,25000,0.1272
223,36,3000.0,7000,0.13799
224,36,33333.333333,30000,0.13799
225,36,8333.333333,5000,0.23121
226,36,0.083333,1000,0.11749
227,36,11666.666667,15000,0.20217
228,60,3416.666667,9000,0.21576
229,36,1250.0,4000,0.22773
230,60,3666.666667,8000,0.14453
231,36,10000.0,12000,0.09434
232,36,2500.0,4000,0.32446
233,36,2166.666667,3500,0.27285
234,60,10000.0,30000,0.16499
235,60,6250.0,15000,0.20398
236,36,4083.333333,9000,0.06726
237,36,2166.666667,4000,0.19859
238,60,4416.666667,15000,0.23462
239,36,6000.0,2000,0.11766
240,36,2291.666667,2000,0.28851
241,36,2702.916667,1100,0.37453
242,36,4504.166667,7500,0.35858
243,36,5833.333333,20000,0.18633
244,36,5250.0,4000,0.33286
245,12,8333.333333,10000,0.11893
246,60,9166.666667,15000,0.25102
247,36,2666.666667,1000,0.19582
248,36,4333.333333,1500,0.22593
249,36,2750.0,3001,0.29776
250,36,6416.666667,2000,0.08857
251,36,4583.333333,17500,0.16647
252,36,2116.666667,2100,0.29925
253,36,2583.333333,5000,0.31053
254,36,2916.666667,4000,0.31032
255,36,2083.333333,3000,0.26079
256,36,7083.333333,3000,0.21434
257,36,11416.666667,11000,0.14243
258,36,1500.0,7000,0.16461
259,36,1583.333333,1000,0.15651
260,36,2666.666667,6000,0.35132
261,36,4833.333333,6000,0.10336
262,36,3500.0,2500,0.33553
263,36,4000.0,7000,0.13138
264,36,3333.333333,2000,0.1911
265,36,2750.0,4000,0.35797
266,36,3750.0,4000,0.35797
267,36,5000.0,7500,0.35643
268,36,916.666667,2000,0.27285
269,36,3958.333333,2500,0.37402
270,60,4583.333333,15000,0.28324
271,36,6166.666667,4000,0.24753
272,36,1000.0,7500,0.35643
273,36,3333.333333,4600,0.30271
274,36,7000.0,9000,0.16324
275,36,2333.333333,1000,0.20896
276,60,7333.333333,7500,0.27462
277,60,6833.333333,20000,0.15868
278,60,6250.0,20000,0.15449
279,60,4166.666667,3000,0.15936
280,36,6666.666667,4000,0.35797
281,36,5000.0,7000,0.29394
282,36,6000.0,20000,0.18725
283,36,3750.0,4500,0.16056
284,36,6000.0,7000,0.22456
285,36,4208.333333,5000,0.21945
286,36,2375.0,5000,0.30532
287,36,10000.0,10000,0.2951
288,60,9250.0,10000,0.28848
289,36,4166.666667,4000,0.30532
290,36,5000.0,15000,0.16732
291,60,25000.0,15000,0.15868
292,36,5000.0,4000,0.32333
293,36,1916.666667,17000,0.24753
294,60,8750.0,20000,0.14249
295,36,2935.833333,8000,0.2354
296,36,3000.0,2000,0.17359
297,36,2000.0,5025,0.26681
298,36,2416.666667,7500,0.19128
299,36,5231.666667,10000,0.25279
300,36,7208.333333,4200,0.25424
301,36,6666.666667,4000,0.32538
302,36,4183.333333,2500,0.28574
303,36,2500.0,4000,0.30532
304,36,5000.0,2000,0.26681
305,36,2916.666667,1500,0.38486
306,36,1700.0,4000,0.35797
307,36,40000.0,15000,0.15223
308,36,2166.666667,5500,0.20735
309,36,5250.0,15000,0.16056
310,36,3750.0,1800,0.12724
311,60,6250.0,13000,0.21345
312,36,2426.666667,4000,0.23438
313,36,13333.333333,15000,0.19144
314,36,10000.0,25000,0.13202
315,36,3333.333333,3000,0.12081
316,36,4166.666667,4000,0.35797
317,60,4583.333333,15000,0.17522
318,36,3333.333333,10000,0.09434
319,36,8750.0,7500,0.31053
320,36,3500.0,7300,0.14942
321,36,7333.333333,10000,0.13189
322,36,8750.0,16500,0.12427
323,36,10083.333333,7500,0.25013
324,36,1655.833333,3600,0.13411
325,36,5416.666667,6500,0.13453
326,36,1200.0,4000,0.30465
327,60,7083.333333,11000,0.16993
328,36,5475.0,4000,0.35797
329,60,1666.666667,4000,0.19221
330,36,3333.333333,4000,0.15377
331,36,1500.0,2500,0.33973
332,36,0.0,1000,0.2565
333,36,5416.666667,8000,0.2129
334,36,27500.0,12000,0.21025
335,36,0.0,2000,0.35797
336,36,3283.333333,2000,0.17904
337,36,2916.666667,2000,0.21025
338,36,5488.166667,10000,0.127
339,36,2500.0,5000,0.30168
340,36,4500.0,7000,0.09837
341,36,3750.0,2000,0.37352
342,36,2414.5,2000,0.2951
343,60,6250.0,10000,0.20081
344,36,3000.0,5000,0.09844
345,36,5200.0,5500,0.08991
346,36,4217.666667,2000,0.1215
347,36,4583.333333,15000,0.14714
348,36,2990.0,8500,0.13353
349,36,2000.0,4000,0.1709
350,36,3550.0,3500,0.28851
351,36,8500.0,15000,0.16678
352,60,8500.0,15000,0.2699
353,12,15000.0,2000,0.28918
354,36,4166.666667,2500,0.37699
355,36,4916.666667,10000,0.19921
356,36,6666.666667,2000,0.21674
357,60,5750.0,20000,0.21935
358,36,5000.0,4500,0.24246
359,36,2583.333333,10000,0.26528
360,12,4333.333333,3000,0.34105
361,36,3500.0,4500,0.32576
362,36,2363.333333,10000,0.14974
363,36,3750.0,4000,0.35797
364,36,4166.666667,4000,0.34887
365,36,6491.666667,9000,0.09534
366,36,6917.0,3500,0.25506
367,36,1583.333333,1545,0.30704
368,36,1083.333333,16000,0.20735
369,36,1900.0,1000,0.37453
370,36,3541.666667,1000,0.25802
371,36,6166.666667,4000,0.16005
372,36,3333.333333,3800,0.37453
373,36,4333.333333,3000,0.28032
374,36,11666.666667,25000,0.17611
375,36,2500.0,5500,0.17722
376,36,3439.666667,10000,0.13836
377,60,10833.333333,19000,0.14965
378,60,2916.666667,4000,0.23462
379,36,3163.333333,4000,0.2952
380,36,6833.333333,10000,0.13411
381,36,6666.666667,7500,0.35643
382,36,2916.666667,7000,0.20626
383,36,4500.0,4800,0.10913
384,36,3541.666667,5000,0.14197
385,12,6666.666667,4000,0.31368
386,36,11083.333333,25000,0.16717
387,36,3000.0,3500,0.09337
388,60,3000.0,9000,0.23718
389,60,3500.0,7000,0.24856
390,36,12500.0,7000,0.30532
391,36,3631.166667,3000,0.22742
392,60,3333.333333,10000,0.14453
393,36,16666.666667,4700,0.11296
394,60,4200.0,15000,0.21576
395,36,5000.0,5000,0.15512
396,60,2916.666667,11000,0.23718
397,60,4166.666667,4000,0.32393
398,36,8220.916667,15000,0.15833
399,36,3988.0,1500,0.25517
400,36,8500.0,15000,0.2148
401,36,5533.333333,3001,0.29776
402,60,4833.333333,15500,0.17849
403,36,6500.0,3000,0.28545
404,36,1166.666667,2500,0.11696
405,36,3219.833333,8000,0.09678
406,36,8083.333333,8000,0.34915
407,60,7083.333333,4000,0.35838
408,12,8333.333333,6950,0.17969
409,60,6833.333333,15000,0.18222
410,36,1333.333333,7000,0.26762
411,36,8750.0,20000,0.10645
412,36,8333.333333,16000,0.13202
413,36,4083.333333,10000,0.0903
414,36,6083.333333,10000,0.1322
415,36,4333.333333,7500,0.38058
416,36,4437.916667,4000,0.34752
417,36,3500.0,2000,0.24758
418,36,7333.333333,7000,0.22712
419,36,1061.0,4000,0.35356
420,36,10000.0,9000,0.25013
421,36,5865.0,1000,0.24264
422,36,6666.666667,10000,0.13271
423,36,10958.333333,25000,0.15934
424,36,2916.666667,15000,0.28851
425,36,2750.0,2500,0.36438
426,36,7916.666667,3500,0.22712
427,36,666.666667,2100,0.12382
428,36,11429.583333,7500,0.35643
429,36,9166.666667,18000,0.23748
430,36,2375.0,10000,0.14816
431,36,5666.666667,3000,0.18837
432,36,4166.666667,1000,0.08001
433,60,10833.333333,25000,0.16969
434,60,14166.666667,3500,0.10878
435,60,4000.0,11890,0.19422
436,36,3033.333333,7500,0.30951
437,36,7083.333333,3000,0.11766
438,36,6250.0,4000,0.34577
439,60,4333.333333,7000,0.17522
440,36,9000.0,8000,0.15713
441,36,2666.666667,7500,0.35643
442,36,12916.666667,5000,0.20524
443,36,2166.666667,3750,0.1019
444,36,8333.333333,25000,0.22773
445,36,12500.0,20000,0.13189
446,36,5000.0,15000,0.13189
447,36,3000.0,5000,0.2951
448,36,2708.333333,4000,0.1961
449,36,5416.666667,4000,0.35797
450,36,4750.0,5500,0.27776
451,36,2884.583333,7000,0.18986
452,36,7691.0,12000,0.13202
453,36,5000.0,10000,0.14816
454,36,6750.0,4500,0.2951
455,36,2203.666667,4000,0.17151
456,36,4416.666667,20000,0.13694
457,36,4333.333333,9000,0.29107
458,60,5000.0,7000,0.22908
459,36,3133.333333,13500,0.202
460,60,7500.0,10000,0.25718
461,60,4000.0,15000,0.18965
462,60,4166.666667,16000,0.18136
463,60,12500.0,10000,0.14965
464,36,1333.333333,1500,0.23014
465,36,2900.0,10000,0.18275
466,36,3083.333333,2500,0.17359
467,36,3600.0,3600,0.24205
468,36,8416.666667,4800,0.12562
469,36,5269.333333,10000,0.29776
470,60,1916.666667,10000,0.27554
471,60,5000.0,15000,0.18426
472,36,2354.0,4000,0.21648
473,36,1666.666667,4000,0.32446
474,36,10000.0,6000,0.09333
475,36,3333.333333,2500,0.35285
476,60,13083.333333,15000,0.14528
477,60,4583.333333,7500,0.33297
478,36,7666.666667,20000,0.1921
479,36,14625.0,18000,0.2353
480,36,1625.0,6000,0.37453
481,36,5458.333333,20000,0.17969
482,36,2666.666667,1000,0.2325
483,60,10000.0,21000,0.21935
484,60,7500.0,15000,0.17522
485,60,6416.666667,15000,0.21935
486,36,6500.0,14584,0.22872
487,36,8000.0,5000,0.08935
488,36,2083.333333,2500,0.24376
489,36,5416.666667,5000,0.2974
490,36,2500.0,7000,0.17322
491,60,8166.666667,25000,0.17327
492,12,8500.0,4000,0.17493
493,36,3750.0,4000,0.35797
494,36,4166.666667,3035,0.15713
495,36,3916.666667,5000,0.35643
496,36,17500.0,3000,0.30285
497,36,6200.0,5000,0.31053
498,36,2154.666667,5000,0.18726
499,36,6833.333333,5000,0.17671
500,36,4250.0,2700,0.18726
501,36,2500.0,1000,0.24807
502,36,11000.0,19000,0.12691
503,36,5833.333333,10000,0.19645
504,36,6250.0,13000,0.14348
505,36,3000.0,8000,0.1899
506,36,5166.666667,4000,0.35797
507,36,11333.333333,12000,0.13799
508,36,2099.0,4500,0.30532
509,36,4608.916667,13000,0.13301
510,60,2666.666667,6500,0.25625
511,36,4333.333333,2500,0.19236
512,36,9166.666667,15000,0.15355
513,36,17500.0,8000,0.27285
514,36,5833.333333,5000,0.13697
515,60,6250.0,5000,0.11695
516,36,4483.416667,4000,0.13202
517,60,5998.083333,4200,0.13227
518,60,833.333333,2000,0.28324
519,36,1916.666667,5000,0.11194
520,36,6250.0,10000,0.16324
521,36,30166.666667,5000,0.1742
522,36,5000.0,5000,0.24822
523,36,4125.0,3000,0.31053
524,60,3833.333333,15000,0.25564
525,36,6250.0,10000,0.2951
526,36,792.666667,5000,0.1265
527,36,5916.666667,1500,0.36783
528,36,2166.666667,10000,0.1717
529,36,3000.0,8500,0.21648
530,36,1958.333333,2000,0.19144
531,12,5666.666667,2000,0.18526
532,36,10833.333333,10000,0.13799
533,36,10500.0,5000,0.15629
534,36,6666.666667,3500,0.3179
535,36,2583.333333,1700,0.24658
536,36,3166.666667,3500,0.1973
537,36,3500.0,6290,0.35643
538,36,4583.333333,2500,0.23983
539,36,6041.666667,5000,0.24758
540,36,18333.333333,15000,0.20984
541,36,5000.0,7200,0.18524
542,36,4333.333333,15000,0.22466
543,36,4166.666667,3000,0.37453
544,36,2083.333333,4000,0.13697
545,36,2833.333333,21500,0.25886
546,36,3766.666667,3000,0.08433
547,36,7044.333333,13000,0.20053
548,36,4583.333333,4000,0.27285
549,36,3250.0,3000,0.10692
550,60,5416.666667,18000,0.19143
551,36,2083.333333,4000,0.29254
552,36,8333.333333,15000,0.24205
553,36,4416.666667,10000,0.28974
554,60,15000.0,20000,0.09367
555,36,4419.75,2800,0.37453
556,36,2916.666667,10000,0.29363
557,36,7125.0,12000,0.18214
558,36,2529.166667,7500,0.2951
559,36,916.666667,4000,0.26383
560,36,4208.333333,10000,0.16324
561,36,6000.0,3200,0.25781
562,36,8416.666667,14400,0.14039
563,60,8166.666667,7500,0.23477
564,36,2600.0,4000,0.35797
565,60,6250.0,10000,0.24856
566,36,8333.333333,5000,0.202
567,36,3416.666667,2100,0.2832
568,36,2389.833333,4000,0.15428
569,36,6500.0,7000,0.15538
570,36,5250.0,4000,0.35797
571,36,4500.0,7500,0.35643
572,60,4166.666667,7500,0.23656
573,36,5833.333333,6200,0.14206
574,36,833.333333,1000,0.17055
575,60,3083.333333,2100,0.32321
576,36,0.083333,1500,0.10505
577,36,8333.333333,9000,0.11696
578,36,7083.333333,2000,0.15223
579,36,5166.666667,4000,0.35285
580,36,833.333333,3000,0.30899
581,36,1887.833333,4000,0.22773
582,36,2916.666667,2551,0.24218
583,36,6166.666667,8000,0.2129
584,12,6000.0,4000,0.24148
585,36,5000.0,1000,0.09981
586,60,8000.0,4000,0.34408
587,36,4916.666667,10850,0.27285
588,36,4916.666667,25000,0.13413
589,36,4000.0,2550,0.19228
590,36,3666.666667,3500,0.2425
591,60,7083.333333,13000,0.17849
592,60,9916.666667,20000,0.25359
593,60,10000.0,15000,0.21832
594,36,7000.0,10000,0.10391
595,60,2916.666667,10000,0.16662
596,36,4541.666667,15000,0.28851
597,60,5533.333333,23500,0.17849
598,36,6180.0,7000,0.35643
599,36,8083.333333,23547,0.12691
600,36,7916.666667,3500,0.33097
601,36,7083.333333,4000,0.33286
602,60,6250.0,6000,0.28386
603,36,3964.583333,4000,0.29537
604,60,4583.333333,15000,0.16686
605,36,5416.666667,6001,0.24507
606,36,7166.666667,5000,0.09837
607,60,5500.0,4000,0.35097
608,36,8833.333333,2500,0.07439
609,36,7500.0,15000,0.23847
610,60,6000.0,15000,0.18965
611,60,26666.666667,25000,0.17317
612,60,4666.666667,4000,0.28899
613,36,13333.333333,20500,0.12528
614,36,4166.666667,15000,0.23438
615,36,2000.0,3000,0.202
616,36,10000.0,14000,0.13301
617,36,3333.333333,3500,0.17069
618,36,3583.333333,7000,0.27285
619,36,5250.0,3000,0.37453
620,36,2500.0,4000,0.24246
621,36,16666.666667,15000,0.20051
622,60,10416.666667,20000,0.13942
623,36,2500.0,5000,0.29588
624,60,3429.166667,7500,0.2893
625,36,6764.833333,6800,0.12951
626,36,3.833333,2000,0.35797
627,36,1666.666667,2500,0.33051
628,36,3583.333333,2500,0.12271
629,36,4916.666667,15000,0.14409
630,36,3347.083333,10000,0.21434
631,36,2916.666667,1500,0.2
632,36,3666.666667,10000,0.13705
633,36,15000.0,30000,0.12691
634,36,3500.0,4000,0.34887
635,36,11666.666667,20000,0.1973
636,36,4583.333333,10000,0.14243
637,36,31666.666667,35000,0.19236
638,36,11666.666667,15000,0.11563
639,60,2500.0,4000,0.3194
640,36,14166.666667,10000,0.11563
641,36,5880.916667,15000,0.21648
642,36,7916.666667,11000,0.08325
643,36,8083.333333,15000,0.19859
644,36,1333.333333,1000,0.17677
645,36,11250.0,15000,0.21372
646,60,12500.0,15000,0.22601
647,60,4583.333333,10000,0.24282
648,36,8333.333333,6500,0.2878
649,36,8478.333333,30000,0.14714
650,36,5100.0,3400,0.10033
651,36,8166.666667,15000,0.18454
652,36,5833.333333,20000,0.15428
653,60,16333.333333,15000,0.29341
654,36,2500.0,1500,0.21986
655,36,2426.083333,18500,0.15713
656,36,5000.0,2500,0.22135
657,36,5833.333333,15000,0.20217
658,60,10000.0,10000,0.10878
659,36,5101.583333,9000,0.19859
660,60,4183.333333,15000,0.15629
661,36,5416.666667,6000,0.14348
662,36,6666.666667,21000,0.19645
663,36,5416.666667,15000,0.17722
664,60,5126.666667,4000,0.35838
665,36,10000.0,15000,0.24758
666,36,3833.333333,6000,0.20835
667,36,31666.666667,25000,0.15161
668,36,3000.0,4000,0.35797
669,36,4166.666667,4400,0.34621
670,36,3500.0,7200,0.32378
671,36,6000.0,20000,0.1899
672,36,2107.666667,4000,0.20524
673,60,3666.666667,22500,0.16151
674,36,3525.166667,10000,0.24246
675,60,2083.333333,7000,0.32989
676,36,5416.666667,15000,0.0893
677,60,12083.333333,25000,0.23052
678,36,6666.666667,4000,0.35797
679,36,2416.666667,7500,0.16461
680,36,1750.0,3500,0.33973
681,36,8333.333333,15000,0.22108
682,60,6000.0,7000,0.14658
683,36,7666.666667,16000,0.25227
684,36,1750.0,3000,0.35797
685,60,6166.666667,10000,0.17522
686,36,4416.666667,2300,0.26681
687,60,9166.666667,35000,0.16294
688,36,0.0,2500,0.30532
689,36,13333.333333,10000,0.17359
690,60,4500.0,15000,0.13227
691,60,10833.333333,8000,0.18136
692,36,2500.0,4000,0.16324
693,36,3666.666667,2600,0.12528
694,36,1622.5,1000,0.11749
695,36,7083.333333,15000,0.13138
696,60,4583.333333,15000,0.18136
697,36,2500.0,4000,0.18275
698,36,8333.333333,6001,0.0768
699,36,7500.0,5000,0.20053
700,36,6416.666667,15000,0.19859
701,60,5833.333333,15000,0.20593
702,36,10833.333333,9500,0.08182
703,36,1666.666667,1000,0.07479
704,60,2250.0,4000,0.35838
705,36,3333.0,5000,0.23438
706,36,6166.666667,7000,0.29776
707,36,6500.0,15000,0.25013
708,36,6297.666667,10000,0.14206
709,36,5583.333333,4000,0.35797
710,36,9083.333333,15000,0.15803
711,36,6416.666667,10000,0.25259
712,60,7750.0,20000,0.22908
713,36,1866.75,2550,0.22368
714,36,4550.0,4000,0.35643
715,60,6166.666667,20000,0.17839
716,36,6583.333333,3500,0.16215
717,36,6250.0,4000,0.37453
718,36,2715.666667,10000,0.18725
719,36,3750.0,6001,0.13905
720,36,10000.0,14000,0.08331
721,36,2100.0,1225,0.30596
722,36,2500.0,4000,0.10582
723,36,5833.333333,4000,0.13799
724,36,6250.0,4500,0.25998
725,36,1400.0,2348,0.10082
726,36,3500.0,6000,0.11766
727,12,2625.0,2000,0.20784
728,36,7083.333333,1000,0.39153
729,36,3166.666667,17500,0.09736
730,36,2333.333333,3000,0.23748
731,60,2850.0,10000,0.2004
732,36,2833.333333,4000,0.22995
733,60,5250.0,20000,0.16969
734,36,7743.666667,4000,0.30131
735,36,3250.0,10000,0.14974
736,36,4254.166667,4000,0.35797
737,60,8500.0,9000,0.21166
738,36,7333.333333,25000,0.14857
739,36,2333.333333,2000,0.12562
740,36,5000.0,15000,0.18214
741,60,5833.333333,14000,0.21832
742,36,2083.333333,4000,0.09333
743,36,4416.666667,7400,0.12562
744,36,3000.0,6000,0.15538
745,36,4166.666667,4000,0.22135
746,60,5416.666667,7000,0.23318
747,36,2289.583333,4000,0.24753
748,36,5130.666667,4000,0.27285
749,36,12500.0,5000,0.12782
750,36,4750.0,10000,0.21025
751,36,6516.666667,6000,0.09744
752,36,12500.0,3500,0.15833
753,36,2250.0,4000,0.34731
754,36,2583.333333,10000,0.12528
755,36,4291.666667,3500,0.127
756,60,3500.0,4950,0.23318
757,60,12500.0,10170,0.16289
758,36,7083.333333,10000,0.17219
759,36,4333.333333,11000,0.20984
760,36,6250.0,1500,0.22491
761,60,7916.666667,11500,0.16499
762,36,1250.0,3500,0.13209
763,60,5000.0,15000,0.15783
764,36,4666.666667,3000,0.202
765,60,8458.25,15000,0.15425
766,60,7333.333333,24000,0.2214
767,60,2833.333333,7000,0.13942
768,36,4916.666667,1500,0.37733
769,36,14833.333333,2500,0.22362
770,36,5916.666667,15000,0.12274
771,36,9333.333333,19000,0.10038
772,36,0.0,3500,0.10491
773,36,10000.0,6000,0.12691
774,60,6666.666667,15500,0.16294
775,60,6833.333333,10000,0.15629
776,36,4232.083333,8500,0.08829
777,60,3791.666667,10000,0.12992
778,36,2666.666667,5000,0.12691
779,60,7500.0,23000,0.18555
780,36,3500.0,2500,0.33097
781,36,2211.166667,1800,0.15863
782,36,2250.0,4500,0.15713
783,60,2916.666667,10000,0.23052
784,36,4250.0,5000,0.15375
785,36,3333.333333,3000,0.37453
786,60,11250.0,26000,0.17174
787,60,4166.666667,10000,0.28386
788,36,3497.833333,10000,0.31975
789,36,5750.0,3151,0.35643
790,36,3166.666667,1000,0.07045
791,36,2333.333333,3000,0.2706
